,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
1048,1048,194.65610926317487,2026-03-03 03:40:24.703194,2026-03-03 03:54:02.838035,0 days 00:13:38.134841,0.45973856614156067,0.6409676575364927,0.04908976503779605,0.7080546899868845,0.47572398391985166,0.519314088955327,8.724629966043288,0.042742039015935575,2.6635330482172535,0.962299575615481,0.07351604004964438,2.0223742243975438,0.9631704926319669,COMPLETE
29,29,195.09653188221517,2026-03-01 10:35:02.255250,2026-03-01 10:47:52.439324,0 days 00:12:50.184074,0.0973040469839234,0.20413941103406288,0.2590278186238626,6.773584291897639,0.47528185778673654,0.39950335424867117,2.830166753304005,0.31708449321416493,4.434632601314796,0.07863197142405852,1.044569142069189,2.220244218272846,0.34421532898070306,COMPLETE
441,441,195.57989107182968,2026-03-02 02:53:21.216505,2026-03-02 03:06:10.306248,0 days 00:12:49.089743,0.24033213440336046,0.7909031886455347,0.14039796305117624,1.866928118040098,0.5013089209475173,0.37263550045213606,9.028433440828358,0.07588543450345914,10.258982922611303,0.45149220626168335,0.0003631585954567279,7.233476155607131,0.9121465423738262,COMPLETE
885,885,199.38339039925125,2026-03-02 20:42:57.589666,2026-03-02 20:54:40.886578,0 days 00:11:43.296912,0.453231075780991,0.5910942056513652,0.02680621014080787,0.9331834678434818,0.4285789201026651,0.40785136710840747,11.051014753628522,0.0717440069834484,2.723128532214469,0.899815602324383,0.1348537861622953,1.352322890359132,0.9067359547499249,COMPLETE
1326,1326,199.96404219195907,2026-03-03 15:05:32.549221,2026-03-03 15:15:32.819373,0 days 00:10:00.270152,0.1850052767909956,0.7707408174528736,0.0007768920681479195,0.6667362789377028,0.41434224937840247,0.4859167815039836,8.05516341389125,0.13216747542926854,2.164970813531889,0.9129073940440516,0.10435189370966977,1.331761452093731,0.24990026042016444,COMPLETE
71,71,201.17107814888845,2026-03-01 12:18:06.176946,2026-03-01 12:31:06.293582,0 days 00:13:00.116636,0.08528329516894176,0.24358480156079462,0.41644410165233736,6.484770027365444,0.4480888242374074,0.9316449479749103,1.5724035297879217,0.4503419708945722,2.9433681811162047,0.21261264700449545,0.7717120262001724,1.4081992643627652,0.5878811422086593,COMPLETE
32,32,204.97995654376695,2026-03-01 10:43:09.733817,2026-03-01 10:56:06.881783,0 days 00:12:57.147966,0.10772219660739672,0.3691235708063499,0.00014052175778223042,9.06022659971924,0.2820510817352493,0.3884000618436674,6.831598083282326,0.08169547556410228,4.688483275919902,0.08488910758232983,0.728158641291403,2.166959056231927,0.5508730181924181,COMPLETE
56,56,205.12755855182377,2026-03-01 11:40:21.114303,2026-03-01 11:53:20.223210,0 days 00:12:59.108907,0.226060110250152,0.0001604301987719204,0.30888804238251893,6.058969245266985,0.09444410819409993,0.12411132659449382,6.039342883091706,0.17630829049174757,5.439146206081603,0.1275625828096243,0.4033246729358763,7.402081753568479,0.6240454633492314,COMPLETE
374,374,210.46056225428714,2026-03-02 00:09:44.921640,2026-03-02 00:23:15.185004,0 days 00:13:30.263364,0.35641556868989005,0.90315348758609,0.32296507088015053,1.0905977222401175,0.5196542161672846,0.3886138113702319,1.5636651235702677,0.04842606558648682,7.475670491342444,0.9058583638943121,1.2505812515325332,3.598292678890253,0.9023581252228299,COMPLETE
1734,1734,210.58249707627965,2026-03-04 07:33:18.924018,2026-03-04 07:46:46.424842,0 days 00:13:27.500824,0.2898577535073032,0.6583156561347029,0.02893417786120528,0.5065330992020644,0.42282193642304444,0.5130485548076359,8.5894435937815,0.0687851042679739,1.8049582732955747,0.8980406100929833,0.07860868030784729,1.5892938900856075,0.14328056287779273,COMPLETE
1694,1694,217.3568191430076,2026-03-04 05:54:25.158873,2026-03-04 06:08:08.222943,0 days 00:13:43.064070,0.4864128154464574,0.5619281058284793,0.052317085069848224,1.2281988470388687,0.23965972836800947,0.45390784608604995,1.5607994144962998,0.518955072471459,11.143472922644692,0.8924599770534091,0.21245586102337027,1.866590974624037,0.8076963451931205,COMPLETE
114,114,220.91604982313024,2026-03-01 13:53:56.748522,2026-03-01 14:06:09.395015,0 days 00:12:12.646493,0.02139261993519834,0.32771222907913544,0.1451404671679046,5.230546627199066,0.14757766802235123,0.06007575762438981,1.4328779427839307,0.5255889895628615,8.127353552774151,0.5281369403758178,0.5811151531212566,1.9252590569856927,0.5325474415385716,COMPLETE
1868,1868,224.83050250534242,2026-03-04 12:58:21.840205,2026-03-04 13:12:15.233870,0 days 00:13:53.393665,0.46442178021783104,0.6812796737664522,0.025269134791186927,0.6962515493034258,0.38202015767297354,0.4099740600390872,11.997456595250853,0.07373331915580442,2.015090611277638,0.8403818157611385,0.14031584382081772,1.2189090015491417,0.912441715808811,COMPLETE
1046,1046,227.26908807959146,2026-03-03 03:31:06.478301,2026-03-03 03:44:45.363449,0 days 00:13:38.885148,0.4831266544278176,0.01924703933323213,0.04786301477940409,0.955845998770914,0.06886619207236094,0.5122906007747097,8.707333268469071,0.023049348108443123,2.3635005784353376,0.8027848295605705,0.0728865303971849,1.9808250386048236,0.4215895912775322,COMPLETE
112,112,228.15968642800385,2026-03-01 13:49:14.658791,2026-03-01 14:01:37.056168,0 days 00:12:22.397377,0.029284111451730734,0.4661538929627281,0.14429968603932003,4.633479649396873,0.4203762869796784,0.10881896094058861,1.6839599642395402,0.5334546387934885,7.6459221004472635,0.677466705309506,0.6905475483422435,3.2720370970499744,0.43741993849383465,COMPLETE
1878,1878,229.25116371021394,2026-03-04 13:23:50.302633,2026-03-04 13:36:54.006593,0 days 00:13:03.703960,0.4905104976635407,0.7229911745045532,0.0745253686430736,1.3254797082272003,0.44846201844772077,0.4526671683149914,10.673280397432844,0.04932130982905515,7.548891608071628,0.9267821414932017,0.02706405460842384,1.002070439677184,0.9015756972192853,COMPLETE
